id;company_rating;company_location;total_fleet_count;iata_approved
35029;100%;Niue;4.0;f
30292;67%;Anguilla;6.0;f
19032;67%;Russian Federation;4.0;f
8238;91%;Barbados;15.0;t
30342;;Sao Tome and Principe;2.0;t
32413;100%;Faroe Islands;1.0;f
35620;90%;Micronesia;3.0;f
23820;;Rwanda;1.0;t
46528;100%;Uzbekistan;3.0;t
11875;100%;Micronesia;2.0;t
21120;100%;Kiribati;2.0;t
10864;100%;Nicaragua;2.0;t
6027;82%;Wallis and Futuna;2.0;f
14122;100%;Malta;1.0;t
47761;100%;Niue;2.0;f
33827;100%;United Kingdom;1.0;f
13336;;Malta;1.0;f
46548;;Estonia;1.0;f
26648;100%;Niue;2.0;t
26648;100%;Niue;2.0;t
19479;80%;Niue;4.0;f
13109;100%;Bouvet Island (Bouvetoya);1.0;f
19479;80%;Niue;4.0;f
35620;90%;Micronesia;3.0;f
24304;100%;Micronesia;1.0;t
17518;90%;United Kingdom;2.0;t
42867;100%;Indonesia;2.0;t
31177;;Costa Rica;1.0;f
41961;;Marshall Islands;2.0;t
47761;100%;Niue;2.0;f
16351;;;1.0;t
5252;;Kenya;1.0;t
29378;;;1.0;f
11275;100%;Brazil;3.0;t
28675;100%;Guinea;1.0;t
2418;100%;Mexico;2.0;f
2418;100%;Mexico;2.0;f
21747;67%;Gambia;1.0;t
47174;;Isle of Man;2.0;t
40644;;Bosnia and Herzegovina;1.0;t
49598;;Switzerland;4.0;t
8363;71%;Guinea;3.0;f
22699;0%;Russian Federation;1.0;f
27772;100%;Chad;2.0;t
33784;100%;Pakistan;1.0;f
6186;;Bosnia and Herzegovina;3.0;t
2817;;El Salvador;1.0;f
6399;95%;Marshall Islands;5.0;f
859;75%;Lebanon;2.0;t
12135;;Bosnia and Herzegovina;1.0;t
33904;100%;Russian Federation;1.0;t
1442;100%;Andorra;2.0;t
1442;100%;Andorra;2.0;t
8363;71%;Guinea;3.0;f
6637;100%;Cyprus;3.0;t
7788;;Cook Islands;3.0;t
42832;;Denmark;2.0;f
8363;71%;Guinea;3.0;f
42114;100%;Sao Tome and Principe;3.0;t
29416;100%;Anguilla;1.0;f
14271;;El Salvador;1.0;f
9814;100%;Lebanon;2.0;t
39856;100%;Bosnia and Herzegovina;1.0;t
37646;100%;Estonia;60.0;f
19579;100%;Kenya;2.0;f
29560;;Croatia;4.0;t
21836;100%;Mauritania;3.0;f
14917;;Monaco;1.0;t
6399;95%;Marshall Islands;5.0;f
7788;;Cook Islands;3.0;t
15268;;Lebanon;1.0;t
28884;100%;Micronesia;2.0;t
48911;100%;;1.0;f
8238;91%;Barbados;15.0;t
17025;100%;Sao Tome and Principe;1.0;t
37349;100%;;1.0;f
37321;100%;Tunisia;1.0;t
24968;;Gibraltar;1.0;t
18897;100%;Canada;1.0;t
41961;;Marshall Islands;2.0;t
5431;100%;Uzbekistan;2.0;t
