shuttle_id;review_scores_rating;review_scores_comfort;review_scores_amenities;review_scores_trip;review_scores_crew;review_scores_location;review_scores_price;number_of_reviews;reviews_per_month
63561;97.0;10.0;9.0;10.0;10.0;9.0;10.0;133;1.65
36260;90.0;8.0;9.0;10.0;9.0;9.0;9.0;3;0.09
57015;95.0;9.0;10.0;9.0;10.0;9.0;9.0;14;0.14
14035;93.0;10.0;9.0;9.0;9.0;10.0;9.0;39;0.42
10036;98.0;10.0;10.0;10.0;10.0;9.0;9.0;92;0.94
45163;91.0;10.0;9.0;9.0;9.0;9.0;9.0;26;0.77
64643;95.0;9.0;10.0;10.0;10.0;9.0;9.0;118;1.12
23389;76.0;8.0;8.0;8.0;8.0;9.0;9.0;5;0.05
39934;96.0;10.0;10.0;10.0;10.0;10.0;9.0;38;0.49
57063;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0.02
58991;97.0;10.0;10.0;10.0;10.0;9.0;10.0;109;1.06
4563;85.0;8.0;10.0;10.0;10.0;10.0;7.0;4;0.04
25926;93.0;10.0;9.0;10.0;10.0;10.0;9.0;168;1.64
49438;96.0;10.0;10.0;10.0;10.0;10.0;9.0;61;0.62
10750;97.0;10.0;10.0;10.0;10.0;10.0;10.0;467;4.66
61282;97.0;10.0;10.0;10.0;10.0;9.0;10.0;52;0.51
74345;;;;;;;;0;
4428;95.0;9.0;10.0;10.0;10.0;9.0;9.0;137;1.37
4146;95.0;10.0;10.0;10.0;10.0;9.0;9.0;318;3.22
5067;97.0;10.0;9.0;10.0;10.0;9.0;10.0;22;0.29
22966;;;;;;;;0;
47570;89.0;9.0;7.0;9.0;10.0;9.0;8.0;7;0.13
30150;;;;;;;;0;
21906;98.0;10.0;10.0;10.0;10.0;9.0;10.0;77;0.77
14891;93.0;9.0;8.0;10.0;9.0;9.0;9.0;15;0.19
21228;89.0;9.0;8.0;9.0;10.0;10.0;9.0;65;0.71
5689;92.0;9.0;10.0;9.0;10.0;10.0;9.0;75;0.79
36824;90.0;10.0;10.0;8.0;10.0;8.0;8.0;2;0.02
9938;96.0;10.0;9.0;10.0;10.0;9.0;9.0;148;1.46
75321;97.0;10.0;10.0;10.0;10.0;9.0;10.0;450;4.5
35746;93.0;9.0;9.0;10.0;10.0;10.0;9.0;9;0.33
27341;;;;;;;;0;
38226;;;;;;;;0;
25733;94.0;10.0;9.0;10.0;10.0;9.0;9.0;168;2.55
6329;96.0;10.0;9.0;10.0;10.0;9.0;9.0;89;1.15
74362;96.0;9.0;9.0;10.0;10.0;10.0;9.0;30;0.46
53471;91.0;9.0;9.0;9.0;9.0;9.0;10.0;9;0.14
38733;88.0;10.0;8.0;9.0;9.0;9.0;9.0;38;0.41
14998;;;;;;;;1;0.03
61198;96.0;9.0;9.0;10.0;10.0;10.0;9.0;95;0.95
28701;96.0;10.0;9.0;10.0;10.0;9.0;9.0;25;0.28
2509;94.0;10.0;10.0;10.0;10.0;9.0;10.0;50;0.52
40725;;;;;;;;0;
51059;96.0;10.0;10.0;10.0;10.0;9.0;10.0;170;1.7
37878;95.0;10.0;10.0;10.0;10.0;9.0;10.0;342;3.42
61424;88.0;9.0;9.0;9.0;9.0;9.0;9.0;101;1.01
9858;;;;;;;;0;
71365;93.0;9.0;10.0;10.0;10.0;9.0;9.0;66;0.68
49512;97.0;10.0;9.0;10.0;10.0;10.0;10.0;14;0.14
57848;94.0;9.0;9.0;10.0;10.0;10.0;9.0;103;1.07
31989;85.0;8.0;7.0;9.0;10.0;8.0;8.0;9;0.12
70608;98.0;10.0;10.0;10.0;10.0;9.0;10.0;8;0.15
6476;96.0;10.0;10.0;10.0;10.0;10.0;9.0;6;0.11
40407;95.0;9.0;9.0;10.0;10.0;9.0;9.0;78;0.81
20759;100.0;10.0;9.0;10.0;9.0;10.0;10.0;2;0.57
26232;98.0;10.0;10.0;10.0;10.0;10.0;10.0;72;0.73
56156;;;;;;;;0;
46324;97.0;9.0;10.0;10.0;10.0;9.0;10.0;69;0.7
18221;95.0;9.0;10.0;10.0;10.0;10.0;9.0;184;1.9
18590;95.0;10.0;9.0;10.0;10.0;9.0;10.0;172;1.91
20990;;;;;;;;0;
55477;91.0;9.0;8.0;10.0;10.0;9.0;9.0;56;0.78
15748;95.0;10.0;9.0;10.0;10.0;9.0;9.0;13;9.29
19813;72.0;7.0;8.0;8.0;8.0;9.0;8.0;10;0.15
43480;87.0;9.0;8.0;10.0;9.0;10.0;9.0;362;3.74
48270;100.0;10.0;10.0;10.0;10.0;9.0;10.0;3;0.11
74856;95.0;9.0;10.0;10.0;10.0;9.0;9.0;176;1.95
19072;;;;;;;;0;
16779;93.0;9.0;10.0;10.0;9.0;10.0;10.0;23;0.24
69497;96.0;10.0;10.0;10.0;10.0;10.0;9.0;91;0.97
76722;98.0;10.0;10.0;10.0;10.0;10.0;10.0;30;0.41
29755;93.0;9.0;10.0;10.0;10.0;9.0;9.0;23;0.27
39224;90.0;10.0;10.0;9.0;10.0;10.0;9.0;6;0.08
15332;94.0;10.0;10.0;9.0;10.0;10.0;9.0;57;0.67
49328;98.0;10.0;10.0;9.0;10.0;9.0;10.0;12;0.13
16900;98.0;10.0;10.0;10.0;10.0;10.0;10.0;38;0.4
54588;96.0;10.0;10.0;10.0;10.0;9.0;9.0;138;1.47
40674;98.0;10.0;10.0;10.0;10.0;9.0;10.0;54;0.84
460;98.0;10.0;10.0;10.0;10.0;9.0;10.0;21;0.26
31293;96.0;10.0;10.0;10.0;10.0;9.0;9.0;103;1.34
38089;95.0;10.0;10.0;10.0;10.0;9.0;9.0;68;1.26
39684;97.0;10.0;10.0;10.0;10.0;9.0;10.0;192;2.03
12358;95.0;9.0;9.0;10.0;10.0;10.0;9.0;23;0.28
10651;;;;;;;;0;
13204;97.0;10.0;10.0;10.0;10.0;10.0;10.0;49;1.08
9408;97.0;10.0;10.0;10.0;10.0;9.0;10.0;111;1.48
61147;;;;;;;;0;
63769;100.0;10.0;10.0;10.0;10.0;10.0;10.0;6;0.53
64105;91.0;9.0;9.0;9.0;10.0;9.0;9.0;13;0.14
731;98.0;10.0;10.0;10.0;10.0;10.0;10.0;113;1.24
53151;97.0;9.0;9.0;10.0;10.0;10.0;9.0;25;0.83
41233;;;;;;;;0;
33027;100.0;10.0;10.0;10.0;10.0;10.0;10.0;10;0.15
31438;87.0;10.0;10.0;10.0;10.0;10.0;10.0;3;0.26
13020;97.0;9.0;8.0;10.0;10.0;10.0;10.0;8;0.13
16167;97.0;10.0;10.0;10.0;10.0;10.0;9.0;165;1.82
259;94.0;10.0;10.0;10.0;10.0;9.0;9.0;182;1.97
15231;98.0;10.0;10.0;10.0;10.0;10.0;10.0;76;0.83
71339;96.0;10.0;9.0;10.0;10.0;9.0;10.0;55;0.59
